Time (ms),Iteration 1,Iteration 2,AVG
26.5375,0.010959441,0.009882033,0.010420737
26.55,0.010672776,0.010012481,0.010342629
26.5625,0.010526223,0.010262105,0.010394164
26.575,0.010703375,0.011600409,0.011151892
26.5875,0.011803329,0.012085163,0.011944246
26.6,0.011653555,0.011837149,0.011745352
26.6125,0.012201117,0.011217117,0.011709117
26.625,0.011896737,0.010980377,0.011438557
26.6375,0.012473287,0.010861202,0.011667244
26.65,0.012143139,0.011133372,0.011638256
26.6625,0.012139919,0.011387827,0.011763873
26.675,0.012167297,0.011819434,0.011993365
26.6875,0.012130256,0.012238158,0.012184207
26.7,0.01224782,0.01217857,0.012213195
26.7125,0.011959545,0.012795382,0.012377464
26.725,0.012052953,0.012228495,0.012140724
26.7375,0.011677712,0.012866243,0.012271978
26.75,0.011458688,0.012796992,0.01212784
26.7625,0.01119457,0.0128904,0.012042485
26.775,0.011527938,0.012672986,0.012100462
26.7875,0.01177112,0.012946767,0.012358943
26.8,0.012713248,0.013689195,0.013201222
26.8125,0.012882348,0.013082046,0.012982197
26.825,0.013379984,0.013457287,0.013418636
26.8375,0.013360659,0.012819539,0.013090099
26.85,0.012394374,0.012639166,0.01251677
26.8625,0.012118982,0.012011081,0.012065031
26.875,0.011460298,0.012407257,0.011933778
26.8875,0.010437647,0.012305797,0.011371722
26.9,0.010273378,0.012471677,0.011372527
26.9125,0.010669555,0.011682544,0.011176049
26.925,0.011382995,0.011471572,0.011427283
26.9375,0.012136698,0.010809666,0.011473182
26.95,0.012491002,0.010677607,0.011584305
26.9625,0.01187419,0.010938504,0.011406347
26.975,0.011416815,0.010001208,0.010709012
26.9875,0.011593968,0.010508508,0.011051238
27,0.012020743,0.010598694,0.011309719
27.0125,0.011861306,0.010592252,0.011226779
27.025,0.012201117,0.010745247,0.011473182
27.0375,0.012051342,0.010975545,0.011513444
27.05,0.01146513,0.011503781,0.011484455
27.0625,0.011378164,0.011333071,0.011355617
27.075,0.011199401,0.011341123,0.011270262
27.0875,0.011246105,0.011118877,0.011182491
27.1,0.011877411,0.011209064,0.011543238
27.1125,0.011821045,0.011283146,0.011552095
27.125,0.011183296,0.010965882,0.011074589
27.1375,0.010970714,0.010800003,0.010885359
27.15,0.010933673,0.010502065,0.010717869
27.1625,0.011020638,0.010474688,0.010747663
27.175,0.010761352,0.009756416,0.010258884
27.1875,0.011920894,0.010192854,0.011056874
27.2,0.011795277,0.01048435,0.011139814
27.2125,0.01214475,0.011692207,0.011918478
27.225,0.011999807,0.011862917,0.011931362
27.2375,0.011788835,0.012724521,0.012256678
27.25,0.012001418,0.012801824,0.012401621
27.2625,0.011766288,0.012996691,0.01238149
27.275,0.0113991,0.012481339,0.01194022
27.2875,0.011912842,0.01271969,0.012316266
27.3,0.012254262,0.013367101,0.012810681
27.3125,0.012515159,0.012660102,0.012587631
27.325,0.012869464,0.013003133,0.012936299
27.3375,0.01275512,0.013273693,0.013014406
27.35,0.01319639,0.013539421,0.013367906
27.3625,0.013537811,0.01309493,0.013316371
27.375,0.012375048,0.013293019,0.012834033
27.3875,0.01244913,0.013102983,0.012776056
27.4,0.012334786,0.013590957,0.012962871
27.4125,0.01228164,0.013043395,0.012662518
27.425,0.011708311,0.013413804,0.012561058
27.4375,0.011882243,0.013481444,0.012681843
27.45,0.012086773,0.013471781,0.012779277
27.4625,0.013003133,0.01339931,0.013201222
27.475,0.013706911,0.012616619,0.013161765
27.4875,0.013892115,0.012648829,0.013270472
27.5,0.013917883,0.01245074,0.013184312
27.5125,0.013017627,0.012813097,0.012915362
27.525,0.012251041,0.013280135,0.012765588
27.5375,0.011614904,0.013214105,0.012414505
27.55,0.011896737,0.013565189,0.012730963
27.5625,0.011434531,0.0135362,0.012485365
27.575,0.011885464,0.012982197,0.01243383
27.5875,0.011809771,0.011938609,0.01187419
27.6,0.011946662,0.011300861,0.011623761
27.6125,0.012159244,0.011065732,0.011612488
27.625,0.012370217,0.01167127,0.012020744
27.6375,0.012635945,0.011761457,0.012198701
27.65,0.012666544,0.011751794,0.012209169
27.6625,0.012706806,0.011494118,0.012100462
27.675,0.012563473,0.011436141,0.011999807
27.6875,0.012437857,0.011426478,0.011932167
